"[(2.5, 0.15), (1.5, 0.018)]","[(2.5, 0.15), (1.5, 0.018)]","[(2.5, 0.15), (1.5, 0.018)]","[(2.5, 0.175), (1.5, 0.05)]","[(2.5, 0.175), (1.5, 0.05)]","[(2.5, 0.175), (1.5, 0.05)]","[(2.5, 0.2), (1.5, 0.08)]","[(2.5, 0.2), (1.5, 0.08)]","[(2.5, 0.2), (1.5, 0.08)]"
path_length,time,reachability,path_length,time,reachability,path_length,time,reachability
"(60.90432925316993, 7.611606741090732)","(2.251923453807831, 1.2936611501056468)","(0.525, 0.49937460888595453)","(52.507246220525246, 3.7823128275671167)","(1.2204405844211579, 1.6977429738749505)","(0.7875, 0.4090767042988393)","(57.21562064711783, 5.1695425399740635)","(2.682488289475441, 1.82466363831515)","(0.775, 0.41758232721225164)"
"(52.24252751828054, 0.6287592340180619)","(8.537387290596962, 13.83506394765653)","(0.8, 0.4)","(52.920010154402426, 0.843602017841592)","(27.249748104810713, 12.629462927649854)","(0.375, 0.4841229182759271)","(52.442956159317504, 0.795107324925741)","(14.63226040005684, 14.051723996762295)","(0.725, 0.44651427748729383)"
