"[(2.5, 0.15), (1.5, 0.018)]","[(2.5, 0.15), (1.5, 0.018)]","[(2.5, 0.15), (1.5, 0.018)]","[(2.5, 0.175), (1.5, 0.05)]","[(2.5, 0.175), (1.5, 0.05)]","[(2.5, 0.175), (1.5, 0.05)]","[(2.5, 0.2), (1.5, 0.08)]","[(2.5, 0.2), (1.5, 0.08)]","[(2.5, 0.2), (1.5, 0.08)]"
path_length,time,reachability,path_length,time,reachability,path_length,time,reachability
"(216.78863081724472, 30.336612749092932)","(152.75595241487025, 21.071953617180316)","(1.0, 0.0)","(242.28859383483444, 29.163377877578373)","(140.7100309729576, 17.53525048945132)","(1.0, 0.0)","(219.96987540129612, 18.268584377750464)","(120.10387922525406, 17.40929901985726)","(1.0, 0.0)"
"(232.03295891622398, 46.95077184964208)","(151.216404107213, 22.304053824480008)","(1.0, 0.0)","(220.8027920785915, 24.078695347070422)","(137.84320371150972, 35.215084599426284)","(1.0, 0.0)","(220.9761046667316, 42.99465260514696)","(159.41179458498954, 23.13897363861164)","(1.0, 0.0)"
"(60.90432925316993, 7.611606741090732)","(2.251923453807831, 1.2936611501056468)","(0.525, 0.49937460888595453)","(52.507246220525246, 3.7823128275671167)","(1.2204405844211579, 1.6977429738749505)","(0.7875, 0.4090767042988393)","(57.21562064711783, 5.1695425399740635)","(2.682488289475441, 1.82466363831515)","(0.775, 0.41758232721225164)"
"(52.24252751828054, 0.6287592340180619)","(8.537387290596962, 13.83506394765653)","(0.8, 0.4)","(52.920010154402426, 0.843602017841592)","(27.249748104810713, 12.629462927649854)","(0.375, 0.4841229182759271)","(52.442956159317504, 0.795107324925741)","(14.63226040005684, 14.051723996762295)","(0.725, 0.44651427748729383)"
